Prop ID,Prop Name,Prop City,Live Date,RM,PM,Total Inventory,Avali,Inv Status,Head,MTD - FH Occ,Jan-2026 Ach ADR,STLM ADR,Feb-2026 MTD ADR,LM Vs CM ADR MTD,STLM,Feb-2026 MTD Rev,LM Vs CM MTD,Jan-2026 Ach Rev,Monthly Target,Monthly RR,Achievement,Target delta,Grid Status,MTD CTF,Bucket,CM Pricing Forms Count,L30D Pricing Forms Count,Days Since Last Pricing Form,MM,City Tag,Set,CAT
157,FabHotel Aashraye,New Delhi,15-Mar-2018,Aman Mishra,Ashish Kumar,18,18,Live,Arun Biyani,0.00%,2701.2,2847,3130.2,9.9% ▲,0.94,3.54,276.5% ▲,3.84,7.79,9.9,127.13%,2.11,No Grid,3367,0-10%,4,12,5,Nehru Place,Metro,PreSet,CAT A
528,FabHotel VJR Electronic City,Bangalore,11-Aug-2016,Dhirendra Singh,Arun Dagar,21,21,Live,Arun Biyani,0.00%,1900.8,1855.9,2029.1,9.3% ▲,0.63,1.16,83.3% ▲,2.45,2.4,3.24,134.94%,0.84,No Grid,549,0-10%,0,1,12,Electronic City,Metro,PreSet,CAT A
529,FabHotel RMS Comforts,Bangalore,12-Aug-2016,Dhirendra Singh,Arun Dagar,26,26,Live,Arun Biyani,0.00%,2599.2,2176.7,2279.4,4.7% ▲,0.13,0.64,388.7% ▲,1.27,1.34,1.79,133.36%,0.45,No Grid,2451,0-10%,0,1,13,Mathikere,Metro,PreSet,CAT A
536,FabHotel Aaykay LEC,Amritsar,23-Aug-2016,Jitendra Dhaker,Ashish Kumar,30,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Albert Road,Pilgrim,PreSet,
537,FabHotel Khems,Ooty,23-Aug-2016,Shahan Kumar,Ashish Kumar,26,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Bombay Castel,Leisure,PreSet,
575,FabHotel Star Delhi,New Delhi,28-Oct-2016,Aman Mishra,Ashish Kumar,25,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Mahipalpur,Metro,PreSet,
577,FabExpress Exotica II,Noida,28-Oct-2016,Jitendra Dhaker,Ashish Kumar,16,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Sector 105,Business,PreSet,
599,FabHotel Transit,New Delhi,12-Dec-2016,Aman Mishra,Ashish Kumar,53,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Mahipalpur,Metro,PreSet,
607,FabExpress Ascot International Delist,Mumbai,20-Dec-2016,Abhinav Sharma,Arun Dagar,15,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Mumbai International Airport,Metro,PreSet,
621,FabHotel Plus Embassy Park,Mumbai,2-Jan-2017,Abhinav Sharma,Arun Dagar,5,0,Churned,Arun Biyani,0.00%,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,-,0,0,0,-,0,No Grid,,0-10%,#N/A,,,Santacruz East,Metro,PreSet,
